TI-AFEXXXX,,2/16/2022,
GRE-DC_Time,GRE-DC_Value,GRE-AMB_Time,GRE-AMB_Value
1.6796875,-0.418743896,1.6796875,-0.163149261
1.689453125,-0.418616295,1.689453125,-0.158965302
1.69921875,-0.418551064,1.69921875,-0.156846428
1.708984375,-0.41859169,1.708984375,-0.154940987
1.71875,-0.41853447,1.71875,-0.150083542
1.728515625,-0.418736458,1.728515625,-0.148088837
1.73828125,-0.418535042,1.73828125,-0.145578003
1.748046875,-0.418309021,1.748046875,-0.143283463
1.7578125,-0.418618011,1.7578125,-0.140332031
1.767578125,-0.418355942,1.767578125,-0.13799572
1.77734375,-0.418385696,1.77734375,-0.135821342
1.787109375,-0.418570518,1.787109375,-0.134806252
1.796875,-0.418385124,1.796875,-0.13162365
1.806640625,-0.418404579,1.806640625,-0.130469513
1.81640625,-0.418337059,1.81640625,-0.128629875
1.826171875,-0.418387413,1.826171875,-0.125779724
1.8359375,-0.418344498,1.8359375,-0.124659348
1.845703125,-0.41822834,1.845703125,-0.121320534
1.85546875,-0.41838398,1.85546875,-0.12065506
1.865234375,-0.418269539,1.865234375,-0.118254662
1.875,-0.41823864,1.875,-0.116793823
1.884765625,-0.418201447,1.884765625,-0.115691185
1.89453125,-0.418304443,1.89453125,-0.114638901
1.904296875,-0.41816082,1.904296875,-0.113251305
1.9140625,-0.41815567,1.9140625,-0.111166763
1.923828125,-0.418171692,1.923828125,-0.111209106
1.93359375,-0.418190002,1.93359375,-0.110959053
1.943359375,-0.418182564,1.943359375,-0.108338928
1.953125,-0.418110466,1.953125,-0.109315681
1.962890625,-0.418047523,1.962890625,-0.107933235
1.97265625,-0.418143654,1.97265625,-0.105347443
1.982421875,-0.418075562,1.982421875,-0.10517292
1.9921875,-0.418097305,1.9921875,-0.10285778
2.001953125,-0.417920494,2.001953125,-0.101249886
2.01171875,-0.418199158,2.01171875,-0.102057266
2.021484375,-0.41804924,2.021484375,-0.099549294
2.03125,-0.417682457,2.03125,-0.098416328
2.041015625,-0.41813221,2.041015625,-0.098042679
2.05078125,-0.418175125,2.05078125,-0.097601509
2.060546875,-0.418319893,2.060546875,-0.096809578
2.0703125,-0.417961121,2.0703125,-0.094720459
2.080078125,-0.418069267,2.080078125,-0.094703865
2.08984375,-0.41809845,2.08984375,-0.094196892
2.099609375,-0.417979431,2.099609375,-0.093217278
2.109375,-0.418124771,2.109375,-0.093117142
2.119140625,-0.417918777,2.119140625,-0.093488503
2.12890625,-0.418046951,2.12890625,-0.092483711
2.138671875,-0.41804409,2.138671875,-0.093200111
2.1484375,-0.418042946,2.1484375,-0.092184448
2.158203125,-0.41821003,2.158203125,-0.09241848
2.16796875,-0.417863274,2.16796875,-0.093099976
2.177734375,-0.418061829,2.177734375,-0.09224968
2.1875,-0.417824936,2.1875,-0.093520546
2.197265625,-0.417903328,2.197265625,-0.092038536
2.20703125,-0.417882156,2.20703125,-0.091339302
2.216796875,-0.418044662,2.216796875,-0.092203903
2.2265625,-0.418256378,2.2265625,-0.093379784
2.236328125,-0.417892456,2.236328125,-0.094388008
2.24609375,-0.417979431,2.24609375,-0.093395805
2.255859375,-0.418104744,2.255859375,-0.093476486
2.265625,-0.41824894,2.265625,-0.094363403
2.275390625,-0.41796627,2.275390625,-0.09436512
2.28515625,-0.417975426,2.28515625,-0.093969727
2.294921875,-0.418125343,2.294921875,-0.093956566
2.3046875,-0.418014908,2.3046875,-0.095036888
2.314453125,-0.417827797,2.314453125,-0.095176506
2.32421875,-0.418038368,2.32421875,-0.094835472
2.333984375,-0.417938805,2.333984375,-0.095821953
2.34375,-0.418060684,2.34375,-0.095864868
2.353515625,-0.41817112,2.353515625,-0.09615097
2.36328125,-0.418195724,2.36328125,-0.096017647
2.373046875,-0.417886734,2.373046875,-0.096334076
2.3828125,-0.41825695,2.3828125,-0.095199966
2.392578125,-0.418024635,2.392578125,-0.092869377
2.40234375,-0.418010902,2.40234375,-0.092920303
2.412109375,-0.417971992,2.412109375,-0.091945839
2.421875,-0.418021202,2.421875,-0.089130592
2.431640625,-0.418064117,2.431640625,-0.087756729
2.44140625,-0.417840385,2.44140625,-0.085648727
2.451171875,-0.418066978,2.451171875,-0.084963226
2.4609375,-0.417912483,2.4609375,-0.081887627
2.470703125,-0.417882729,2.470703125,-0.079624557
2.48046875,-0.417985153,2.48046875,-0.07850647
2.490234375,-0.417929649,2.490234375,-0.076618767
2.5,-0.417745972,2.5,-0.072512627
2.509765625,-0.417776299,2.509765625,-0.069903946
2.51953125,-0.417888451,2.51953125,-0.068503189
2.529296875,-0.417681313,2.529296875,-0.066684151
2.5390625,-0.417771721,2.5390625,-0.064696884
2.548828125,-0.417699623,2.548828125,-0.061745453
2.55859375,-0.41766758,2.55859375,-0.058498192
2.568359375,-0.417620087,2.568359375,-0.057070541
2.578125,-0.417710495,2.578125,-0.054000092
2.587890625,-0.417648125,2.587890625,-0.051852608
2.59765625,-0.417684174,2.59765625,-0.049590111
2.607421875,-0.417549706,2.607421875,-0.049999237
2.6171875,-0.41770649,2.6171875,-0.046922493
2.626953125,-0.417542839,2.626953125,-0.046406364
2.63671875,-0.417568588,2.63671875,-0.045865059
2.646484375,-0.417459297,2.646484375,-0.043638039
2.65625,-0.41748333,2.65625,-0.042870712
2.666015625,-0.417501068,2.666015625,-0.042129707
2.67578125,-0.417673874,2.67578125,-0.041674805
2.685546875,-0.417594337,2.685546875,-0.039354515
2.6953125,-0.417581749,2.6953125,-0.038020134
2.705078125,-0.417341995,2.705078125,-0.037631607
2.71484375,-0.417498207,2.71484375,-0.036529541
2.724609375,-0.417460442,2.724609375,-0.034435272
2.734375,-0.417130852,2.734375,-0.034739685
2.744140625,-0.41748848,2.744140625,-0.032753563
2.75390625,-0.417360306,2.75390625,-0.0326231
2.763671875,-0.417250443,2.763671875,-0.032044029
2.7734375,-0.417381477,2.7734375,-0.031214905
2.783203125,-0.417454147,2.783203125,-0.030829239
2.79296875,-0.417247581,2.79296875,-0.031031227
2.802734375,-0.417491913,2.802734375,-0.029518318
2.8125,-0.417396927,2.8125,-0.02835331
2.822265625,-0.417355728,2.822265625,-0.028546143
2.83203125,-0.417508507,2.83203125,-0.028645134
2.841796875,-0.41744957,2.841796875,-0.027874374
2.8515625,-0.417251587,2.8515625,-0.029072571
2.861328125,-0.417333412,2.861328125,-0.028626823
2.87109375,-0.417394066,2.87109375,-0.027152824
2.880859375,-0.417492485,2.880859375,-0.029115486
2.890625,-0.417244148,2.890625,-0.027838898
2.900390625,-0.417428398,2.900390625,-0.028146744
2.91015625,-0.417385483,2.91015625,-0.027969933
2.919921875,-0.417485619,2.919921875,-0.027512741
2.9296875,-0.417534256,2.9296875,-0.029595566
2.939453125,-0.417262459,2.939453125,-0.029120064
2.94921875,-0.417336845,2.94921875,-0.029981232
2.958984375,-0.417378044,2.958984375,-0.03107357
2.96875,-0.41743927,2.96875,-0.030051041
2.978515625,-0.417385483,2.978515625,-0.031934738
2.98828125,-0.417500496,2.98828125,-0.032090378
2.998046875,-0.417435265,2.998046875,-0.032645416
3.0078125,-0.417350578,3.0078125,-0.034604073
3.017578125,-0.417495346,3.017578125,-0.035044098
3.02734375,-0.41742382,3.02734375,-0.035890388
3.037109375,-0.417610931,3.037109375,-0.036240005
3.046875,-0.417383194,3.046875,-0.035929871
3.056640625,-0.417457008,3.056640625,-0.037403297
3.06640625,-0.417554855,3.06640625,-0.038608932
3.076171875,-0.41741581,3.076171875,-0.040359306
3.0859375,-0.417516518,3.0859375,-0.041197014
3.095703125,-0.417379189,3.095703125,-0.041499138
3.10546875,-0.417515373,3.10546875,-0.041848755
3.115234375,-0.417578888,3.115234375,-0.044439697
3.125,-0.417419815,3.125,-0.046664429
3.134765625,-0.417717934,3.134765625,-0.049481392
3.14453125,-0.417592621,3.14453125,-0.050981712
3.154296875,-0.417491341,3.154296875,-0.051128197
3.1640625,-0.417671013,3.1640625,-0.052930069
3.173828125,-0.417597198,3.173828125,-0.055864334
3.18359375,-0.417553139,3.18359375,-0.056422234
3.193359375,-0.417847252,3.193359375,-0.058681297
3.203125,-0.41738205,3.203125,-0.060289764
3.212890625,-0.417765427,3.212890625,-0.062204933
3.22265625,-0.417633247,3.22265625,-0.063892937
3.232421875,-0.417822647,3.232421875,-0.06576519
3.2421875,-0.417728806,3.2421875,-0.068232536
3.251953125,-0.417695045,3.251953125,-0.068868828
3.26171875,-0.417791748,3.26171875,-0.070393181
3.271484375,-0.417802048,3.271484375,-0.071664619
3.28125,-0.417747116,3.28125,-0.07315979
3.291015625,-0.417829514,3.291015625,-0.076228523
3.30078125,-0.417790031,3.30078125,-0.077576637
3.310546875,-0.417892456,3.310546875,-0.080109787
3.3203125,-0.417843819,3.3203125,-0.083038902
3.330078125,-0.417931938,3.330078125,-0.083679771
3.33984375,-0.418123627,3.33984375,-0.083706093
3.349609375,-0.418028069,3.349609375,-0.08495636
3.359375,-0.417800903,3.359375,-0.085498238
3.369140625,-0.418046951,3.369140625,-0.084912872
3.37890625,-0.417881012,3.37890625,-0.084471703
3.388671875,-0.418012047,3.388671875,-0.085439873
3.3984375,-0.417836952,3.3984375,-0.083565903
3.408203125,-0.417830086,3.408203125,-0.082071304
3.41796875,-0.418030357,3.41796875,-0.081324005
3.427734375,-0.417829514,3.427734375,-0.080016518
3.4375,-0.417798615,3.4375,-0.079662323
3.447265625,-0.417789459,3.447265625,-0.077862167
3.45703125,-0.417741394,3.45703125,-0.078676987
3.466796875,-0.417877579,3.466796875,-0.074252701
3.4765625,-0.417790604,3.4765625,-0.073700523
3.486328125,-0.417938232,3.486328125,-0.072350121
3.49609375,-0.417853546,3.49609375,-0.070650101
3.505859375,-0.417941666,3.505859375,-0.068895149
3.515625,-0.417829514,3.515625,-0.068688011
3.525390625,-0.417770576,3.525390625,-0.065911674
3.53515625,-0.417675591,3.53515625,-0.064699173
3.544921875,-0.417634964,3.544921875,-0.062058449
3.5546875,-0.417576599,3.5546875,-0.061842155
3.564453125,-0.417704773,3.564453125,-0.059968758
3.57421875,-0.41779232,3.57421875,-0.059014893
3.583984375,-0.41729908,3.583984375,-0.059010315
3.59375,-0.417911911,3.59375,-0.056873131
3.603515625,-0.417711067,3.603515625,-0.056859398
3.61328125,-0.41781292,3.61328125,-0.056881142
3.623046875,-0.417603493,3.623046875,-0.056252289
3.6328125,-0.417495346,3.6328125,-0.056778145
3.642578125,-0.417584038,3.642578125,-0.055973625
3.65234375,-0.417737961,3.65234375,-0.053511429
3.662109375,-0.417514229,3.662109375,-0.054081345
3.671875,-0.417560577,3.671875,-0.051493835
3.681640625,-0.417817497,3.681640625,-0.051393127
3.69140625,-0.41751194,3.69140625,-0.050978851
3.701171875,-0.417346001,3.701171875,-0.05052681
3.7109375,-0.417578316,3.7109375,-0.049893951
3.720703125,-0.417586899,3.720703125,-0.048712921
3.73046875,-0.417563438,3.73046875,-0.048445129
3.740234375,-0.417658424,3.740234375,-0.048605347
3.75,-0.41769104,3.75,-0.04762001
3.759765625,-0.417378044,3.759765625,-0.04787693
3.76953125,-0.417590332,3.76953125,-0.04878273
3.779296875,-0.417686462,3.779296875,-0.048261452
3.7890625,-0.417708206,3.7890625,-0.047730446
3.798828125,-0.417634964,3.798828125,-0.048314095
3.80859375,-0.417576599,3.80859375,-0.048603058
3.818359375,-0.417578888,3.818359375,-0.050118828
3.828125,-0.417315102,3.828125,-0.049574089
3.837890625,-0.417432976,3.837890625,-0.051823425
3.84765625,-0.417466164,3.84765625,-0.051677513
3.857421875,-0.417615509,3.857421875,-0.052859116
3.8671875,-0.417655563,3.8671875,-0.05330143
3.876953125,-0.417387772,3.876953125,-0.05276413
3.88671875,-0.417630959,3.88671875,-0.055306435
3.896484375,-0.417669868,3.896484375,-0.054607773
3.90625,-0.417740822,3.90625,-0.055362511
3.916015625,-0.417391205,3.916015625,-0.055517578
3.92578125,-0.417577171,3.92578125,-0.055797958
3.935546875,-0.417575455,3.935546875,-0.058247566
3.9453125,-0.417823792,3.9453125,-0.0578722
3.955078125,-0.417630386,3.955078125,-0.059946442
3.96484375,-0.417794609,3.96484375,-0.060524368
3.974609375,-0.41800518,3.974609375,-0.060738373
3.984375,-0.417709923,3.984375,-0.063162231
3.994140625,-0.417818642,3.994140625,-0.064209938
4.00390625,-0.417625809,4.00390625,-0.064359283
4.013671875,-0.417786026,4.013671875,-0.065531158
4.0234375,-0.417359734,4.0234375,-0.068170166
4.033203125,-0.417883301,4.033203125,-0.067050362
4.04296875,-0.417828369,4.04296875,-0.068611908
4.052734375,-0.417807198,4.052734375,-0.070360565
4.0625,-0.41776886,4.0625,-0.070755959
4.072265625,-0.417875862,4.072265625,-0.071970749
4.08203125,-0.417805481,4.08203125,-0.07404213
4.091796875,-0.417682457,4.091796875,-0.075403976
4.1015625,-0.417929649,4.1015625,-0.076150703
4.111328125,-0.417864418,4.111328125,-0.077701378
4.12109375,-0.417878723,4.12109375,-0.079282379
4.130859375,-0.417704201,4.130859375,-0.080466843
4.140625,-0.418092155,4.140625,-0.081046486
4.150390625,-0.417964554,4.150390625,-0.084023094
4.16015625,-0.41791935,4.16015625,-0.084936333
4.169921875,-0.417974281,4.169921875,-0.086291885
4.1796875,-0.417931366,4.1796875,-0.087737846
4.189453125,-0.417765427,4.189453125,-0.09036541
4.19921875,-0.417916489,4.19921875,-0.091033745
4.208984375,-0.417931938,4.208984375,-0.092516899
4.21875,-0.418076706,4.21875,-0.095050049
4.228515625,-0.418169975,4.228515625,-0.097045898
4.23828125,-0.418123055,4.23828125,-0.097801781
4.248046875,-0.41817627,4.248046875,-0.099337006
4.2578125,-0.418095016,4.2578125,-0.101507378
4.267578125,-0.418203163,4.267578125,-0.102940178
4.27734375,-0.418301582,4.27734375,-0.103450012
4.287109375,-0.418026924,4.287109375,-0.10621891
4.296875,-0.418278694,4.296875,-0.108563805
4.306640625,-0.418108749,4.306640625,-0.109438133
4.31640625,-0.41837368,4.31640625,-0.111171913
4.326171875,-0.418133354,4.326171875,-0.11553669
4.3359375,-0.418105316,4.3359375,-0.117106247
4.345703125,-0.418214035,4.345703125,-0.119266891
4.35546875,-0.418134499,4.35546875,-0.121012688
4.365234375,-0.418125343,4.365234375,-0.121497917
4.375,-0.418481827,4.375,-0.123612213
4.384765625,-0.418444633,4.384765625,-0.122338486
4.39453125,-0.418387413,4.39453125,-0.121592903
4.404296875,-0.418482399,4.404296875,-0.122733307
