,1/13/2021
Timestamp,cbt [mC]
1610548566,37078
1610548567,37078
1610548568,37078
1610548569,37078
1610548570,37078
1610548571,37078
1610548572,37078
1610548573,37078
1610548574,37078
1610548575,37078
1610548576,37078
1610548577,37078
1610548578,37078
1610548579,37078
1610548580,37078
1610548581,37078
1610548582,37078
1610548583,37078
1610548584,37078
1610548585,37078
1610548586,37078
1610548587,37078
1610548588,37078
1610548589,37078
1610548590,37078
1610548591,37078
1610548592,37078
1610548593,37078
1610548594,37078
1610548595,37078
1610548596,37078
1610548597,37078
1610548598,37078
1610548599,37078
1610548600,37078
1610548601,37078
1610548602,37078
1610548603,37078
1610548604,37078
1610548605,37078
1610548606,37078
1610548607,37078
1610548608,37078
1610548609,37078
1610548610,37078
1610548611,37078
1610548612,37078
1610548613,37078
1610548614,37078
1610548615,37078
1610548616,37078
1610548617,37078
1610548618,37078
1610548619,37078
1610548620,37078
1610548621,37078
1610548622,37078
1610548623,37078
1610548624,37078
1610548625,37078
1610548626,37078
1610548627,37078
1610548628,37078
1610548629,37078
1610548630,37078
1610548631,37078
1610548632,37078
1610548633,37078
1610548634,37078
1610548635,37078
1610548636,37078
1610548637,37078
1610548638,37078
1610548639,37078
1610548640,37078
1610548641,37078
1610548642,37078
1610548643,37078
1610548644,37078
1610548645,37078
1610548646,37078
1610548647,37078
1610548648,37078
1610548649,37078
1610548650,37078
1610548651,37078
1610548652,37078
1610548653,37078
1610548654,37078
1610548655,37078
1610548656,37078
1610548657,37078
1610548658,37078
1610548659,37078
1610548660,37078
1610548661,37078
1610548662,37078
1610548663,37078
1610548664,37078
1610548665,37078
1610548666,37078
1610548667,37078
1610548668,37078
1610548669,37078
1610548670,37078
1610548671,37078
1610548672,37078
1610548673,37078
1610548674,37078
1610548675,37078
1610548676,37078
1610548677,37078
1610548678,37078
1610548679,37078
1610548680,37078
1610548681,37078
1610548682,37078
1610548683,37078
1610548684,37078
1610548685,37078
1610548686,37078
1610548687,37078
1610548688,37078
